"hotel","enrgcons","area","age","numrooms","occrate","effrooms"
"1",1,1953916,43000,6,420,NA,136.92
"2",2,1045555,19979,16,215,NA,135.45
"3",3,4245313,46529,7,273,NA,177.59
"4",4,2126199,20962,6,222,NA,156.51
"5",5,2785958,24212,5,474,NA,330.38
"6",6,13833968,112200,4,787,NA,385.39
"7",7,5558123,45000,3,325,NA,159.25
"8",8,4001213,28548,6,199,NA,104.02
"9",9,4669758,32865,8,359,NA,179.5
"10",10,8924035,59406,5,503,NA,290.03
"11",11,6865534,45000,10,416,NA,391.37
"12",12,6014590,37435,13,418,NA,287.17
"13",13,8185738,50828,4,347,NA,170.03
"14",14,11736136,68000,13,455,NA,292.11
"15",15,14837426,78868,8,511,NA,324.54
"16",16,5366490,28454,13,219,NA,167.62
"17",17,13516215,70000,4,501,NA,338.53
"18",18,3884425,20000,5,197,NA,130.02
"19",19,10573409,50000,12,318,NA,195.57
